DistrictName,Vndr,Loc,GPmRFI
Washington,TRO,48,43340
Dallas South,TRO,49,35398
Penn-Cleveland,TRO,50,37948
Wisconsin,TRO,51,45336
Columbus,TRO,52,50273
Minnesota,TRO,53,41279
Washington,TRO,54,40363
California,TRO,55,69481
Houston North,TRO,56,54535
Austin,TRO,57,63464
Dallas North,TRO,58,23378
Dallas North,TRO,59,28534
Tarrant County,TRO,60,51324
Penn-Cleveland,TRO,61,29550
Penn-Cleveland,TRO,62,25724
Washington,TRO,64,45442
Dallas North,TRO,65,36418
Penn-Cleveland,TRO,66,29850
California,TRO,67,89558
Minnesota,TRO,68,39430
Arizona,TRO,69,45627
Midwest,TRO,70,76828
Washington,TRO,71,40105
Arizona,TRO,72,49827
Midwest,TRO,73,79412
Houston South,TRO,74,59735
Austin,TRO,75,61816
Austin,TRO,76,39708
Penn-Cleveland,TRO,77,58139
Midwest,TRO,78,46534
Southern Ohio,TRO,80,44126
Tarrant County,TRO,81,61711
Southern Ohio,TRO,82,39090
Dallas South,TRO,83,39398
Midwest,TRO,84,72315
Dallas North,TRO,85,39109
Midwest,TRO,86,53289
Chicago,TRO,87,55976
Kentucky,TRO,88,33513
Chicago,TRO,90,41927
Columbus,TRO,91,23038
Columbus,TRO,92,3080
Minnesota,TRO,93,4782
Chicago,TRO,94,28254
Houston South,TRO,95,36910
Minnesota,TRO,96,41696
Kentucky,TRO,97,29047
Tarrant County,TRO,98,53913
Midwest,TRO,99,96373
Indiana,TRO,100,33286
Chicago,TRO,101,25902
Indiana,TRO,102,36108
Wisconsin,TRO,103,19903
Austin,TRO,104,70736
Oklahoma,TRO,105,57037
Arizona,TRO,106,30803
Southern Ohio,TRO,107,47918
Chicago,TRO,108,33281
Dallas South,TRO,109,53515
Oklahoma,TRO,110,54491
Tarrant County,TRO,111,33368
California,TRO,112,64945
San Antonio,TRO,113,23929
Oklahoma,TRO,114,53616
Chicago,TRO,115,22610
Kentucky,TRO,116,27073
Chicago,TRO,117,34792
Austin,TRO,118,54215
Chicago,TRO,119,42441
St. Louis,TRO,120,34520
Columbus,TRO,121,17397
California,TRO,122,35333
St. Louis,TRO,123,33814
Chicago,TRO,124,24892
Georgia,TRO,125,29202
Georgia,TRO,126,30382
St. Louis,TRO,127,15247
Dallas Flagship,TRO-i,1,78720
Dallas South,TRO-i,2,13235
Tarrant County,TRO-i,3,20149
San Antonio,TRO-i,4,17608
Austin,TRO-i,5,38254
Houston North,TRO-i,6,14756
Austin,TRO-i,7,17657
Dallas North,TRO-i,8,19009
Houston North,TRO-i,9,18409
San Antonio,TRO-i,10,15266
Houston South,TRO-i,11,28943
Tarrant County,TRO-i,12,14569
Kentucky,TRO-i,13,23498
Wisconsin,TRO-i,14,12390
Houston South,TRO-i,15,27995
Dallas South,TRO-i,16,3655
Austin,TRO-i,17,32825
Tarrant County,TRO-i,18,15175
Columbus,TRO-i,19,11335
