LocNo,District
1,DAL-S
2,DAL-S
3,TAR
4,SAN
5,AUS
6,HOU-N
7,AUS
8,DAL-N
9,HOU-N
10,SAN
11,HOU-S
12,TAR
13,KTY
14,WIS
15,HOU-S
16,DAL-S
17,AUS
18,TAR
19,COL
20,HOU-S
21,HOU-N
22,PNW
23,MIN
24,HOU-S
25,SAN
26,MIN
29,SAN
30,OHIO-S
31,IA/NE
32,OHIO-S
33,TAR
34,PNW
35,WIS
36,MIN
37,CALI
38,IND
39,IND
40,COL
41,WIS
42,CLE
43,DAL-N
44,HOU-N
45,OHIO-S
46,DAL-S
47,IND
48,PNW
49,DAL-S
50,CLE
51,WIS
52,COL
53,MIN
54,PNW
55,CALI
56,HOU-N
57,AUS
58,DAL-N
59,DAL-N
60,TAR
61,PIT
62,PIT
64,PNW
65,DAL-N
66,PIT
67,CALI
68,MIN
69,ARZ
70,KAN
71,PNW
72,ARZ
73,KAN
74,HOU-S
75,AUS
76,AUS
77,CLE
78,KAN
80,OHIO-S
81,TAR
82,OHIO-S
83,DAL-S
84,KAN
85,DAL-N
86,IA/NE
87,CHI
88,KTY
90,CHI
91,COL
94,CHI
95,HOU-S
96,MIN
97,KTY
98,TAR
99,IA/NE
100,IND
101,CHI
102,IND
103,WIS
104,AUS
105,OKL
106,ARZ
107,OHIO-S
108,CHI
109,DAL-S
110,OKL
111,TAR
112,CALI
113,SAN
114,OKL
115,CHI
116,KTY
117,CHI
118,AUS
119,CHI
120,STL
121,COL
122,CALI
123,STL
124,CHI
125,ATL
126,ATL
127,STL
